ix,iy,iz,gamma_dose_Sv_per_h,neutron_dose_Sv_per_h,total_dose_Sv_per_h,gamma_flux_cm2_s_per_primary,neutron_flux_cm2_s_per_primary
107,119,76,0,25.471,25.471,0,5.72794e-08
90,120,76,0,21.5379,21.5379,0,3.22132e-08
85,121,76,0.278494,0.263977,0.542471,7.683e-09,7.0141e-09
86,121,76,0.528789,3.54057,4.06936,4.76881e-08,8.0349e-08
86,122,76,0,0.413384,0.413384,0,8.76303e-09
107,122,76,0.0129459,0,0.0129459,2.61856e-09,0
111,122,76,0,0.48582,0.48582,0,1.66454e-08
85,124,76,0,0.11651,0.11651,0,3.23943e-09
86,124,76,0,2.79636,2.79636,0,6.76087e-08
87,124,76,0,2.05321,2.05321,0,5.19923e-08
88,124,76,0,0.507905,0.507905,0,1.80343e-08
104,124,76,0,70.7948,70.7948,0,4.40522e-08
77,125,76,0.0450067,0,0.0450067,1.24351e-08,0
78,125,76,0.255897,0,0.255897,5.34066e-08,0
79,125,76,0.0970746,0,0.0970746,3.42021e-08,0
85,125,76,0,0.385856,0.385856,0,8.50947e-09
86,125,76,0,0.412852,0.412852,0,1.06572e-08
87,125,76,0,12.9185,12.9185,0,6.87305e-08
88,125,76,0,0.356919,0.356919,0,8.89594e-09
89,125,76,0,30.189,30.189,0,1.88764e-08
90,125,76,0,38.7627,38.7627,0,2.42515e-08
91,125,76,0.0567168,15.2631,15.3198,2.55308e-09,9.55267e-09
87,126,76,0,20.8062,20.8062,0,2.3602e-08
88,126,76,0,62.828,62.828,0,1.01e-07
104,126,76,0,2.75203,2.75203,0,5.53561e-08
88,127,76,0,10.8929,10.8929,0,6.77514e-09
89,127,76,0,18.4106,18.4106,0,1.14554e-08
90,129,76,0,1.00334,1.00334,0,6.24441e-10
91,129,76,0,55.0415,55.0415,0,3.42525e-08
104,129,76,0.550113,0,0.550113,1.55048e-07,0
90,130,76,0,3.16965,3.16965,0,7.16625e-09
110,130,76,0,0.519718,0.519718,0,1.61517e-08
111,130,76,0,1.74533,1.74533,0,4.75793e-08
90,131,76,0,2.32277,2.32277,0,5.25155e-09
91,131,76,0.0700566,8.92869,8.99874,5.64758e-09,2.03122e-08
90,132,76,0,1.41358,1.41358,0,3.64458e-09
91,132,76,0,48.1483,48.1483,0,7.74028e-08
95,132,76,0.0655786,0,0.0655786,2.03176e-09,0
98,132,76,0,0.120973,0.120973,0,4.78829e-09
99,132,76,0.462106,0,0.462106,1.74693e-08,0
101,132,76,0,111.101,111.101,0,8.24192e-08
102,132,76,0.0373388,30.1373,30.1747,1.7168e-09,2.19577e-08
103,132,76,0.00619865,0,0.00619865,1.43342e-09,0
99,133,76,0.107617,0,0.107617,5.15044e-09,0
101,133,76,0.0706815,3.0328,3.10348,7.35925e-09,3.84778e-09
102,133,76,0.00195675,0,0.00195675,4.69535e-11,0
103,133,76,0,3.71259,3.71259,0,2.95312e-09
105,133,76,0,6.32425,6.32425,0,2.8882e-08
107,133,76,0,2.13306,2.13306,0,1.00742e-08
103,134,76,0,8.96891,8.96891,0,7.21064e-09
106,134,76,0,1.32815,1.32815,0,6.29817e-09
107,134,76,0,4.08408,4.08408,0,1.97569e-08
97,135,76,0,27.7098,27.7098,0,4.96709e-08
95,136,76,0,3.41838,3.41838,0,1.86445e-08
96,136,76,0,4.57967,4.57967,0,1.54287e-08
95,137,76,0,1.68218,1.68218,0,1.42175e-08
88,141,76,0.108645,0,0.108645,2.16238e-08,0
88,142,76,0.086161,0,0.086161,2.86158e-08,0
101,113,77,0,9.6823,9.6823,0,6.11002e-09
102,113,77,0.0169451,23.4273,23.4443,9.85095e-10,2.34733e-08
103,114,77,0,22.5441,22.5441,0,3.09415e-08
82,115,77,0.195958,0,0.195958,5.19843e-09,0
83,115,77,0.368754,0,0.368754,8.93404e-08,0
87,116,77,0,18.465,18.465,0,2.88094e-08
104,116,77,0.112842,0,0.112842,3.65593e-09,0
104,117,77,0,42.2659,42.2659,0,3.21616e-08
107,117,77,0,3.53403,3.53403,0,1.35542e-08
107,118,77,0,3.52075,3.52075,0,1.57491e-08
108,118,77,0,1.55519,1.55519,0,6.44539e-09
110,118,77,0,1.62329,1.62329,0,2.83081e-08
89,119,77,0,51.6968,51.6968,0,8.47949e-08
107,119,77,0,1.68922,1.68922,0,3.69075e-09
108,119,77,0,13.0392,13.0392,0,6.88352e-08
109,119,77,0,14.7708,14.7708,0,6.52814e-08
110,119,77,0,1.58498,1.58498,0,2.37563e-08
87,120,77,0,1.03035,1.03035,0,4.74645e-09
88,120,77,0,11.7802,11.7802,0,2.07521e-08
89,120,77,0,22.8397,22.8397,0,4.38393e-08
107,120,77,0,10.4762,10.4762,0,1.95748e-08
108,120,77,0,14.5875,14.5875,0,4.31518e-08
109,120,77,0,11.0791,11.0791,0,7.64654e-08
85,121,77,0,0.99364,0.99364,0,2.33818e-08
86,121,77,0,0.760617,0.760617,0,1.65965e-08
87,121,77,0,0.299485,0.299485,0,8.49912e-10
88,121,77,0,20.9595,20.9595,0,2.37311e-08
89,121,77,0,14.5558,14.5558,0,2.98616e-08
91,121,77,0,41.9407,41.9407,0,3.99688e-08
85,122,77,0.298777,0.641518,0.940295,2.36879e-08,1.44896e-08
86,122,77,0,0.221917,0.221917,0,5.62518e-09
107,122,77,0.0829257,0,0.0829257,4.0812e-09,0
109,122,77,1.53915,1.80981,3.34897,3.41888e-08,2.4458e-08
84,123,77,0.272562,0,0.272562,2.9722e-08,0
85,124,77,0,0.181525,0.181525,0,5.72147e-09
86,124,77,0,0.22226,0.22226,0,6.80309e-09
87,124,77,0,0.238326,0.238326,0,6.44869e-09
88,124,77,0,0.829707,0.829707,0,2.83167e-08
85,125,77,0,0.512384,0.512384,0,1.23001e-08
86,125,77,0,0.308509,0.308509,0,7.0556e-09
88,125,77,0,2.0846,2.0846,0,6.06852e-08
89,125,77,0,1.76872,1.76872,0,4.66488e-08
90,125,77,0.00934418,0.39837,0.407715,2.24219e-10,1.03463e-08
91,125,77,0.32203,0,0.32203,5.32967e-08,0
104,125,77,0,7.38902,7.38902,0,3.44308e-08
107,125,77,0,53.8794,53.8794,0,4.47217e-08
88,126,77,0,0.341322,0.341322,0,8.15919e-09
89,126,77,0,0.597952,0.597952,0,1.45979e-08
91,126,77,0.0643516,0,0.0643516,3.65602e-09,0
104,126,77,0,31.6572,31.6572,0,2.07378e-08
79,127,77,0.0881482,0,0.0881482,1.66082e-08,0
82,127,77,1.97746,0,1.97746,4.74504e-08,0
107,127,77,0,2.54915,2.54915,0,8.17711e-08
104,129,77,0,83.2641,83.2641,0,5.81607e-08
91,131,77,0,12.588,12.588,0,2.9943e-08
94,132,77,0.00592253,0,0.00592253,1.87757e-10,0
98,132,77,0.516549,0,0.516549,6.31864e-09,0
99,132,77,0.0289594,0,0.0289594,7.31118e-10,0
103,132,77,0.176228,0,0.176228,4.96173e-08,0
90,133,77,0,6.0007,6.0007,0,6.76245e-09
91,133,77,0,12.0069,12.0069,0,1.38267e-08
96,133,77,0,5.54166,5.54166,0,5.49841e-09
103,133,77,0,13.7042,13.7042,0,1.09797e-08
112,133,77,0.565345,0,0.565345,4.98208e-08,0
91,134,77,0,32.6659,32.6659,0,3.86048e-08
102,134,77,0,7.07818,7.07818,0,5.70127e-09
103,134,77,0,12.399,12.399,0,1.00209e-08
91,135,77,0,15.3076,15.3076,0,3.25007e-08
92,135,77,0,1.21919,1.21919,0,8.3328e-09
91,136,77,0,1.86468,1.86468,0,3.94801e-08
92,136,77,0,1.48433,1.48433,0,2.87171e-08
104,136,77,0,0.239941,0.239941,0,4.92705e-09
92,137,77,0,2.05977,2.05977,0,5.05159e-08
93,137,77,0,0.367354,0.367354,0,1.07146e-08
92,138,77,0,0.823273,0.823273,0,2.04511e-08
91,139,77,0,0.105385,0.105385,0,2.44635e-09
92,139,77,0,0.146432,0.146432,0,3.78831e-09
104,139,77,0.0631687,0,0.0631687,1.0494e-08,0
102,140,77,0.184781,0,0.184781,3.35484e-08,0
104,140,77,0.054349,0,0.054349,9.3322e-09,0
102,141,77,0.021447,0,0.021447,4.73046e-09,0
87,142,77,0.144936,0,0.144936,1.33212e-08,0
88,142,77,0.124609,0,0.124609,1.85647e-08,0
87,143,77,0.0912541,0,0.0912541,2.1897e-09,0
88,115,78,0,18.0862,18.0862,0,1.58778e-08
89,115,78,0,15.2414,15.2414,0,1.21302e-08
106,115,78,0,51.4829,51.4829,0,3.2962e-08
85,116,78,0,0.0180109,0.0180109,0,5.03752e-10
86,116,78,0,1.13098,1.13098,0,8.2794e-09
87,116,78,0,20.5893,20.5893,0,2.96124e-08
101,116,78,0,302.515,302.515,0,3.19842e-07
103,116,78,0,20.9131,20.9131,0,1.68367e-08
104,116,78,0,13.8654,13.8654,0,1.05689e-08
108,116,78,0,1.09923,1.09923,0,4.09201e-09
86,117,78,0,2.88568,2.88568,0,3.61634e-08
98,117,78,0.0714334,0,0.0714334,3.84083e-09,0
100,117,78,0,27.0616,27.0616,0,2.77186e-08
103,117,78,0,315.471,315.471,0,2.57432e-07
107,117,78,0,6.2547,6.2547,0,2.45021e-08
108,117,78,0,2.87596,2.87596,0,1.0909e-08
109,117,78,0,3.24448,3.24448,0,1.91393e-08
110,117,78,0,0.977522,0.977522,0,5.9951e-09
88,118,78,0.0560623,0,0.0560623,1.83854e-08,0
91,118,78,0,29.416,29.416,0,2.29794e-08
100,118,78,0,36.1169,36.1169,0,4.29591e-07
104,118,78,0,40.624,40.624,0,3.54809e-08
106,118,78,0,122.365,122.365,0,1.2481e-07
107,118,78,0,17.4217,17.4217,0,2.47289e-08
108,118,78,0,5.2206,5.2206,0,2.48579e-08
109,118,78,0,4.76133,4.76133,0,2.88689e-08
110,118,78,0,0.763995,0.763995,0,4.7536e-09
87,119,78,0.0476755,0,0.0476755,5.21402e-09,0
88,119,78,0.101516,0,0.101516,2.77785e-08,0
97,119,78,0,35.6366,35.6366,0,1.00172e-07
100,119,78,0,0.135364,0.135364,0,4.59956e-09
101,119,78,0,1.10018,1.10018,0,3.71371e-08
102,119,78,0,0.387749,0.387749,0,1.29033e-08
104,119,78,0,9.54958,9.54958,0,8.25822e-09
107,119,78,0,0.861006,0.861006,0,1.06429e-08
109,119,78,0,9.84525,9.84525,0,4.07481e-08
110,119,78,0,0.353493,0.353493,0,2.49852e-09
87,120,78,0,0.883481,0.883481,0,1.01966e-08
89,120,78,0,1.98974,1.98974,0,3.82099e-09
96,120,78,0,6.52626,6.52626,0,5.347e-09
97,120,78,0,15.4564,15.4564,0,1.24502e-08
98,120,78,0,7.40017,7.40017,0,1.6293e-08
99,120,78,0,4.88131,4.88131,0,1.20136e-08
100,120,78,0,578.942,578.942,0,3.63871e-07
101,120,78,0,33.2853,33.2853,0,2.07764e-08
105,120,78,0.243691,0,0.243691,8.50971e-09,0
107,120,78,0,15.2443,15.2443,0,1.03099e-08
108,120,78,0,1.78116,1.78116,0,1.38361e-08
109,120,78,0,4.07862,4.07862,0,3.04418e-08
85,121,78,0,1.62742,1.62742,0,3.76632e-08
86,121,78,0,6.08591,6.08591,0,1.87555e-08
87,121,78,0,1.58325,1.58325,0,3.3493e-08
89,121,78,0,6.75542,6.75542,0,1.28468e-08
90,121,78,0,37.2856,37.2856,0,2.72159e-08
97,121,78,0,52.9271,52.9271,0,9.66778e-08
100,121,78,0,99.5975,99.5975,0,1.27243e-07
101,121,78,0.247462,18.9148,19.1623,1.0523e-08,1.18383e-08
104,121,78,0,26.4911,26.4911,0,4.81811e-08
107,121,78,0,10.073,10.073,0,6.83691e-09
108,121,78,0,58.2315,58.2315,0,3.96821e-08
85,122,78,0,0.527167,0.527167,0,1.25554e-08
86,122,78,0,8.87861,8.87861,0,1.4333e-08
87,122,78,0,30.8904,30.8904,0,2.39183e-08
91,122,78,0.348008,0,0.348008,1.19453e-08,0
92,122,78,0,20.0256,20.0256,0,1.4626e-08
96,122,78,1.14606e-05,0,1.14606e-05,2.75003e-13,0
97,122,78,0.222638,0,0.222638,1.00159e-08,0
99,122,78,0.427999,0,0.427999,1.49945e-08,0
101,122,78,0,344.065,344.065,0,2.1658e-07
102,122,78,0,106.188,106.188,0,8.57748e-08
89,123,78,0,0.922014,0.922014,0,2.56752e-08
93,123,78,0.153835,0,0.153835,9.20936e-09,0
96,123,78,0,0.447177,0.447177,0,1.2856e-08
97,123,78,0,0.838276,0.838276,0,2.37418e-08
99,123,78,0,59.2589,59.2589,0,2.17451e-07
100,123,78,0,34.1699,34.1699,0,6.20013e-08
102,123,78,0,25.542,25.542,0,4.64551e-08
105,123,78,0.294825,0,0.294825,9.0661e-09,0
89,124,78,0,0.360783,0.360783,0,9.6029e-09
96,124,78,0,0.298251,0.298251,0,8.99264e-09
97,124,78,0,78.7158,78.7158,0,1.4304e-07
98,124,78,0,7.60056,7.60056,0,1.69139e-07
99,124,78,0,88.0123,88.0123,0,3.02903e-07
100,124,78,0,2.81646,2.81646,0,5.04586e-09
106,124,78,0,22.031,22.031,0,1.80138e-08
107,124,78,0,24.9114,24.9114,0,2.05215e-08
94,125,78,3.76244,41.1639,44.9263,3.73844e-07,3.72073e-08
95,125,78,0,1.25648,1.25648,0,1.12229e-09
96,125,78,0,8.53384,8.53384,0,1.50199e-08
97,125,78,0.0943847,32.9213,33.0157,4.39096e-09,6.19504e-08
98,125,78,0,0.186212,0.186212,0,6.14616e-09
101,125,78,0,19.3504,19.3504,0,3.94783e-07
102,125,78,0,14.0196,14.0196,0,1.76994e-08
104,125,78,0,605.938,605.938,0,4.05675e-07
105,125,78,0,19.8283,19.8283,0,1.30779e-08
106,125,78,0,29.7541,29.7541,0,2.51306e-08
108,125,78,0,30.2613,30.2613,0,2.12537e-08
91,126,78,0.0135335,0,0.0135335,3.69398e-10,0
95,126,78,0.0073229,0,0.0073229,4.82455e-10,0
96,126,78,0.137528,6.3179,6.45542,9.05206e-09,1.14627e-08
97,126,78,0,88.9027,88.9027,0,1.61299e-07
101,126,78,0,11.0039,11.0039,0,7.73186e-09
102,126,78,0,6.83526,6.83526,0,8.63017e-09
103,126,78,0,7.33246,7.33246,0,9.92751e-09
104,126,78,0,55.0818,55.0818,0,7.63137e-08
105,126,78,0.0390263,8.73559,8.77461,9.64309e-10,6.65293e-09
106,126,78,0,5.07627,5.07627,0,4.09748e-08
